,dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
19227,용담,20201223,0.0,0.0,1337904.0,518.667,63.6,79.3,1.9,0.7,6.34,672.52
19228,용담,20201224,0.0,256521.59999999998,1338681.6,517.585,63.5,65.1,3.2,1.8,8.35,672.52
19229,용담,20201225,0.0,259113.6,1339804.8,516.504,63.4,69.0,-1.0,1.1,9.18,672.52
19230,용담,20201226,0.0,261705.6,1341014.4000000001,515.425,63.2,81.0,-1.2,0.6,4.64,672.52
19231,용담,20201227,2.7078,264384.0,1342224.0,514.347,63.1,86.2,0.8,0.4,4.8,672.52
19232,용담,20201228,0.2609,269222.4,1345593.6,513.271,63.0,83.4,3.1,0.5,8.7,672.52
19233,용담,20201229,0.77,259891.2,1334880.0,512.196,62.9,85.3,0.4,1.1,5.96,672.52
19234,용담,20201230,0.1531,259977.59999999998,1333497.5999999999,511.122,62.7,66.7,-7.4,2.9,9.31,672.52
19235,용담,20201231,0.5433,0.0,1257638.4,509.782,62.6,78.0,-8.3,0.8,9.47,672.52
19236,용담,20200401,0.0,694051.2,2667686.4,707.905,86.9,44.0,10.7,1.7,6.7,672.52
19237,용담,20200402,0.0,1026000.0,2668636.8,706.262,86.7,51.3,8.1,1.1,10.7,672.52
19238,용담,20200403,0.0,698544.0000000001,2667254.4,704.293,86.4,49.1,8.6,1.5,11.0,672.52
19239,용담,20200404,0.0,701913.6000000001,2667945.6,702.327,86.2,49.5,7.6,2.1,9.4,672.52
19240,용담,20200405,0.0,703209.6,2666649.6,700.364,85.9,46.9,5.8,1.4,11.3,672.52
19241,용담,20200406,0.0,382320.0,2669760.0,698.077,85.7,48.0,8.0,1.3,9.7,672.52
19242,용담,20200407,0.0,1036972.8,2668723.2,696.445,85.5,55.5,10.4,1.4,10.7,672.52
19243,용담,20200408,0.0,338774.39999999997,2620339.1999999997,694.163,85.2,46.6,8.8,1.8,11.5,672.52
19244,용담,20200409,0.0,714182.4,2667168.0,692.21,84.9,51.4,7.8,1.4,10.7,672.52
19245,용담,20200410,0.0,719279.9999999999,2669932.8000000003,690.26,84.7,54.9,9.9,1.2,6.7,672.52
19246,용담,20200411,0.0,717379.2000000001,2665699.2,688.311,84.5,58.6,7.5,1.2,2.9,672.52
19247,용담,20200412,0.5519,721008.0,2666995.1999999997,686.365,84.2,73.5,6.5,1.2,4.3,672.52
19248,용담,20200413,0.1531,736128.0,2679868.8,684.421,84.0,48.0,9.3,1.6,9.9,672.52
19249,용담,20200414,0.0,769737.6000000001,2711318.4,682.48,83.7,43.4,10.6,1.2,11.5,672.52
19250,용담,20200415,0.0,772156.7999999999,2711577.6,680.54,83.5,45.3,10.6,0.9,7.7,672.52
19251,용담,20200416,0.0,448416.00000000006,2708467.1999999997,678.28,83.2,48.4,14.4,1.3,10.8,672.52
19252,용담,20200417,10.3516,1418256.0,2708467.1999999997,676.99,83.1,76.6,13.0,1.9,3.4,672.52
19253,용담,20200418,2.168,1098835.2,2710368.0,675.379,82.9,75.8,12.3,1.6,6.4,672.52
19254,용담,20200419,20.5717,1418601.6,2706825.6,674.09,82.7,88.4,10.0,1.2,5.82,672.52
19255,용담,20200420,0.8241,1928880.0,2572646.4,673.447,82.6,78.9,10.3,1.8,1.4,672.52
19256,용담,20200421,0.1309,1327795.2,2614723.2,672.16,82.5,50.4,8.6,3.2,11.4,672.52
19257,용담,20200422,0.0,1422316.8,2708467.1999999997,670.874,82.3,42.9,6.8,3.2,7.3,672.52
19258,용담,20200423,0.0,1103673.5999999999,2710195.1999999997,669.267,82.1,49.0,8.1,2.8,9.8,672.52
19259,용담,20200424,0.0,768441.6,2694643.1999999997,667.341,81.9,38.4,10.1,2.8,11.9,672.52
19260,용담,20200425,0.0,742176.0,2666649.6,665.416,81.7,47.1,14.2,3.2,11.0,672.52
19261,용담,20200426,0.0,746582.4,2669414.4,663.494,81.4,48.5,11.5,1.7,11.2,672.52
19262,용담,20200427,0.0,748051.2,2669241.5999999996,661.572,81.2,50.0,10.3,1.5,8.0,672.52
19263,용담,20200428,0.0,751075.2,2670710.4,659.653,80.9,57.5,11.4,1.5,11.8,672.52
19264,용담,20200429,0.0,742003.2,2647209.6,657.747,80.7,50.8,13.8,1.2,11.8,672.52
19265,용담,20200430,0.0,801273.6,2671315.1999999997,655.877,80.5,59.5,16.4,1.3,11.7,672.52
19266,용담,20200201,0.0,994723.2,1328400.0,728.104,89.3,85.4,0.1,0.5,1.9,672.52
19267,용담,20200202,0.0,993686.3999999999,1327276.8,727.771,89.3,79.3,0.3,0.7,5.8,672.52
19268,용담,20200203,0.0,662774.4,1329782.4,727.104,89.2,64.1,0.6,1.3,7.2,672.52
19269,용담,20200204,0.0,996019.2000000001,1329350.4,726.77,89.2,65.1,-0.8,0.9,9.2,672.52
19270,용담,20200205,0.1531,659750.4,1326240.0,726.104,89.1,50.6,-4.7,2.4,9.4,672.52
19271,용담,20200206,0.0,999820.7999999999,1332892.8,725.771,89.1,53.8,-5.4,0.7,8.5,672.52
19272,용담,20200207,0.0,665971.2000000001,1331942.4000000001,725.105,89.0,57.8,-1.9,1.1,7.3,672.52
19273,용담,20200208,0.0,665020.8,1330646.4,724.439,88.9,56.3,1.1,1.7,6.7,672.52
19274,용담,20200209,0.0,667785.6,1333065.6,723.774,88.8,64.8,-1.6,1.0,9.3,672.52
19275,용담,20200210,0.0,666489.6000000001,1331424.0,723.109,88.7,66.3,2.5,0.8,8.5,672.52
19276,용담,20200211,0.0,665798.4,1330387.2,722.444,88.6,59.5,4.5,0.4,7.8,672.52
19277,용담,20200212,10.8482,1331424.0,1331424.0,722.444,88.6,94.1,6.7,0.7,2.52,672.52
19278,용담,20200213,0.494,999475.2,1331683.2,722.112,88.6,88.8,7.1,1.2,5.77,672.52
19279,용담,20200214,0.1414,1004140.8,1336262.4,721.78,88.6,84.4,6.2,0.6,5.3,672.52
19280,용담,20200215,1.4802,1006387.2,1338422.4,721.448,88.5,83.0,8.3,0.6,4.9,672.52
19281,용담,20200216,5.4673,1340496.0,1340496.0,721.448,88.5,82.6,0.6,2.5,0.2,672.52
19282,용담,20200217,1.0275,1341878.4000000001,1341878.4000000001,721.448,88.5,69.6,-3.5,2.9,1.7,672.52
19283,용담,20200218,3.826,1010016.0,1341964.8,721.116,88.5,62.4,-1.9,1.4,9.7,672.52
19284,용담,20200219,2.4952,1011398.3999999999,1343260.8,720.784,88.4,74.1,1.0,0.7,8.8,672.52
19285,용담,20200220,0.0,1343088.0,1343088.0,720.784,88.4,70.8,3.6,0.5,9.3,672.52
19286,용담,20200221,2.8225,1010448.0,1342224.0,720.452,88.4,73.4,5.9,0.7,6.1,672.52
19287,용담,20200222,7.1624,2005603.2000000002,1341964.8,721.116,88.5,59.4,5.8,3.1,7.2,672.52
19288,용담,20200223,0.0,2002406.4,1338422.4,721.78,88.6,58.6,2.3,1.1,10.2,672.52
19289,용담,20200224,0.125,1672531.2,1340409.5999999999,722.112,88.6,58.8,5.9,0.9,8.7,672.52
19290,용담,20200225,35.8664,7996665.600000001,1336867.2,728.772,89.4,97.1,6.4,0.9,1.83,672.52
19291,용담,20200226,0.0,8028633.600000001,1334275.2,735.466,90.2,78.4,7.9,1.1,5.0,672.52
