dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
주암(조),20220701,0,97200,763257.6,61.9441,24.78,81.7,26.3,1.5,29.99,210
주암(조),20220702,0,50544,762566.4,61.2321,24.49,76,26.5,1.2,27.74,210
주암(조),20220703,0,4665.6,762912,60.4739,24.19,73.3,27.1,1.5,21.88,210
주암(조),20220704,1,111542.4,763430.4,59.822,23.93,84.3,26.1,1.3,18.44,210
주암(조),20220705,0,0,762912,59.0352,23.61,84.3,26.6,1,2.6,210
주암(조),20220706,0.2519,94953.6,762739.2,58.3674,23.35,82.5,27.4,1.8,6.2,210
주암(조),20220707,0,51753.6,762652.8,57.6565,23.06,83.3,27.5,2.2,3.9,210
주암(조),20220708,7.0076,122256,742176,57.0365,22.81,92,26,1,1.8,210
주암(조),20220709,0,44236.8,741744,56.3391,22.54,79,25.8,2.8,9.8,210
주암(조),20220710,0,6307.2,742003.2,55.6034,22.24,80,26.6,1.6,7.3,210
주암(조),20220711,9.7633,0,742608,54.6146,21.85,89.3,25.7,1.1,1.7,210
주암(조),20220712,5.2367,843782.4,729648,54.7287,21.89,85.5,25.1,1.5,1,210
주암(조),20220713,0,0,728870.4,53.9913,21.6,86.5,23.8,1.6,9.12,210
주암(조),20220714,17,189561.6,729302.4,53.4515,21.38,79.9,26.8,2.3,6.9,210
주암(조),20220715,0,99014.4,728784,52.8217,21.13,73.8,26,2.5,11.3,210
주암(조),20220716,0,62121.6,728956.8,52.1548,20.86,69.1,25.9,2.5,9.5,210
주암(조),20220717,0,72748.8,716342.4,51.5113,20.6,83.6,24.6,1.4,1,210
주암(조),20220718,109.0532,1346889.6,703296,52.1548,20.86,99.6,22.1,0.9,3.3,210
주암(조),20220719,0,658368,703209.6,52.11,20.84,77.6,25.6,2.7,10,210
주암(조),20220720,0,245203.2,702864,51.6524,20.66,79.6,25.8,1.5,9.8,210
주암(조),20220721,8.0152,298080,693964.8,51.2565,20.5,83.3,23.8,2.6,1,210
주암(조),20220722,0,151891.2,694224,50.7142,20.29,82.9,23.7,1.8,4.8,210
주암(조),20220723,11.4962,156384,694915.2,50.1756,20.07,87.3,23.2,1.3,1.8,210
주암(조),20220724,16.2595,373507.2,684979.2,49.8642,19.95,86.9,24.4,1.9,1.5,210
주암(조),20220725,0,213148.8,685152,49.3922,19.76,79.3,26.1,2.1,6.1,210
